metal,production_route,year,region,application,energy_mix,transport_mode,transport_distance_km,gwp_kg_co2_per_kg,energy_mj_per_kg,global_recycling_rate_pct,recycled_content_pct,water_use_l_per_kg,so2_kg_per_kg,eol_recovery_pct,typical_lifespan_years,reuse_potential_score,unit_price_usd_per_kg,circularity_index,material_efficiency_score,end_of_life_scenario,carbon_intensity_category,transport_gwp_kg_co2_per_kg,route_type,life_cycle_stage,upstream_gwp_kg_co2,downstream_gwp_kg_co2,pathway_type,circular_flow_type,emission_reduction_vs_primary_pct,benchmark_gwp_for_metal,process_temperature_celsius,batch_size_tonnes,facility_age_years,waste_generated_kg_per_kg,co2_capture_used,acidification_potential,eutrophication_potential,human_toxicity_score,abiotic_depletion_score,data_completeness_score,recommended_action
Copper,Primary - Sulphide Ore,2023,Peru,Heat Exchangers,Natural Gas Grid,Road,391.3,2.8076,84.76,63.0,1.99,268.58,0.0057,59.48,56.4,4,8.68,43.29,0.55,Closed Loop Recycling,Medium,0.07608,Primary,Extraction,1.5582,1.2494,Hybrid,Closed Loop,12.26,3.2,963,122.8,9,6.2653,Partial,0.00667,0.02731,1.4766,0.00486,0.59,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining (Low Grade),2010,South Africa,Electrical,Mixed Grid (India),Air Freight,1629.3,11.1646,190.682,78.8,0.65,1451.67,0.0853,77.4,35.4,3,2.74,53.18,0.936,Incineration,High,0.22189,Primary,Processing,7.2689,3.8957,Conventional,Linear,2.92,11.5,454,280.8,42,5.9672,No,0.07764,0.0295,2.0238,0.00107,0.91,Increase recycled content in feedstock
Rare Earths,Primary - Monazite,2023,Southeast Asia,Permanent Magnets,Mixed Grid (Global Avg),Road,485.8,39.5676,463.301,0.6,0.33,5177.7,0.0917,23.07,10.1,3,119.49,9.45,0.973,Reuse,High,0.09884,Primary,Use,24.4548,15.1128,Hybrid,Closed Loop,-31.89,30.0,718,108.0,22,0.8867,No,0.07779,0.04239,1.5097,0.12109,0.88,Optimise production process efficiency
Germanium,Primary - Coal Fly Ash,2021,Mexico,Fiber Optics,Mixed Grid (China),Combined (Road+Sea),4998.4,1080.4733,12283.656,36.59,4.85,8006.39,2.3322,25.85,12.0,3,1169.68,23.78,0.614,Closed Loop Recycling,Very High,1.29849,Primary,End-of-Life,621.2346,459.2387,Hybrid,Closed Loop,15.59,1280,1175,39.9,19,7.0534,Yes,2.89829,0.01815,0.4815,0.01053,0.85,Increase recycled content in feedstock
Gold,Secondary - Jewellery Recycling,2017,Philippines,Medical Devices,Natural Gas Grid,Combined (Road+Sea),2379.3,54.3063,647.553,27.37,18.79,1069.45,0.0059,25.98,83.3,4,60199.49,24.13,0.887,Open Loop Recycling,High,0.53734,Secondary,Manufacturing,40.5692,13.7371,Hybrid,Open Loop,99.66,16000,438,433.3,25,2.3772,Partial,0.00718,0.00822,0.8888,0.10056,0.87,Maintain current circular practices; explore renewable energy
Chromium,Secondary - Stainless Steel Scrap,2022,Brazil,Surface Coating,Renewable Grid,Air Freight,703.5,0.3824,16.414,28.8,24.09,44.96,0.0041,25.79,20.8,4,9.63,25.63,0.763,Landfill,Low,0.13294,Secondary,Extraction,0.2569,0.1255,Hybrid,Linear,96.94,12.5,375,267.3,16,1.4057,No,0.00383,0.04628,1.7207,0.03302,0.7,Implement end-of-life collection and recycling programme
Zinc,Primary - Low Grade Ore,2022,Peru,Galvanizing,Mixed Grid (EU),Rail,1313.1,2.347,44.758,81.28,8.88,222.39,0.0128,74.65,18.7,3,3.83,54.87,0.922,Incineration,Medium,0.32199,Primary,Extraction,1.3984,0.9486,Conventional,Linear,24.29,3.1,465,402.6,26,2.2904,No,0.01608,0.0284,1.7951,0.03197,0.77,Increase recycled content in feedstock
Gallium,Primary - Aluminium Byproduct,2016,DRC,Lasers,Hydro-dominated Grid,Combined (Road+Sea),2054.7,95.9196,9043.511,19.1,6.18,5695.81,0.656,25.65,11.5,2,220.68,17.12,0.719,Incineration,High,0.35592,Primary,Use,55.4966,40.423,Conventional,Linear,81.9,530,685,123.7,36,4.5905,Partial,0.71654,0.0449,0.9991,0.03298,1.0,Increase recycled content in feedstock
Chromium,Secondary - Stainless Steel Scrap,2014,Europe,Surface Coating,Renewable Grid,Rail,927.6,0.3576,19.808,36.18,22.68,63.29,0.0031,22.3,19.7,3,8.11,26.14,0.663,Reuse,Low,0.23635,Secondary,End-of-Life,0.232,0.1256,Circular,Closed Loop,97.14,12.5,248,430.6,10,5.3407,Partial,0.00313,0.00327,0.9547,0.14942,0.79,Reduce material losses in processing
Tin,Primary - Alluvial Mining,2018,Kazakhstan,Solder,Mixed Grid (India),Rail,1763.0,18.5637,237.129,64.29,0.47,252.21,0.0405,62.91,17.8,3,27.48,43.72,0.864,Reuse,High,0.33549,Primary,End-of-Life,13.4059,5.1578,Hybrid,Closed Loop,-16.02,16.0,423,340.3,8,5.8009,Yes,0.04761,0.03845,0.8511,0.0441,0.62,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (South Africa),2013,Philippines,Superalloys,Mixed Grid (China),Pipeline,264.3,13.0186,101.391,25.3,0.33,186.9,0.0242,36.56,21.6,3,8.66,22.14,0.893,Remanufacturing,High,0.07243,Primary,Extraction,9.6437,3.3749,Hybrid,Closed Loop,-4.15,12.5,939,486.0,12,4.3251,No,0.02989,0.01499,1.5977,0.09138,0.62,Increase recycled content in feedstock
Magnesium,Electrolytic (Brine),2021,Australia,Aerospace,Hydro-dominated Grid,Combined (Road+Sea),1336.2,2.9391,197.061,42.09,6.98,460.61,0.0578,39.23,12.8,2,2.95,29.4,0.884,Landfill,Medium,0.16952,Primary,Processing,1.9336,1.0055,Conventional,Linear,79.01,14.0,1486,459.3,39,2.7688,No,0.04947,0.01821,2.4633,0.12104,0.66,Increase recycled content in feedstock
Cobalt,Secondary - Battery Recycling,2016,Global Average,Catalysts,Hydro-dominated Grid,Road,213.1,0.7616,24.354,69.67,37.58,112.18,0.0025,63.14,17.4,3,43.61,53.09,0.604,Incineration,Low,0.02192,Secondary,Processing,0.5526,0.209,Hybrid,Linear,91.04,8.5,280,43.3,32,6.9399,Yes,0.00296,0.00651,1.1887,0.08252,0.67,Transition to closed-loop recycling pathway
Silver,Secondary - Electronics Recycling,2023,China,Medical,Coal Grid,Road,480.3,19.7336,258.737,74.17,40.48,303.04,0.0858,76.87,35.4,3,700.38,59.37,0.891,Reuse,High,0.05902,Secondary,End-of-Life,12.5235,7.2101,Circular,Closed Loop,81.38,106,416,464.5,45,1.7258,No,0.08576,0.03362,0.9342,0.13495,0.75,Maintain current circular practices; explore renewable energy
Lead,Primary - Blast Furnace,2017,Central Asia,Radiation Shielding,Renewable Grid,Air Freight,4312.8,1.4003,25.193,97.79,7.16,122.53,0.0079,90.95,22.1,5,1.8,66.69,0.917,Open Loop Recycling,Low,1.21927,Primary,Processing,0.8331,0.5672,Conventional,Open Loop,17.63,1.7,1092,11.0,36,1.9714,No,0.00635,0.03542,0.1481,0.0102,0.56,Increase recycled content in feedstock
